epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.734,1.07808,2.63449,1.04079,0.66331,0.65099,0.75094,0.63041,0.65812,1.93357,0.86361,0.000330097,0.000330097,0.000330097
2,197.598,0.808,1.3916,0.96626,0.99754,1,0.995,0.89206,0.49668,0.6982,0.85232,0.000650294,0.000650294,0.000650294
3,292.735,0.76176,1.14094,0.95034,0.99106,0.99897,0.995,0.87928,0.55405,0.65995,0.88012,0.000957292,0.000957292,0.000957292
4,388.235,0.69803,0.98003,0.93938,0.99421,1,0.995,0.91878,0.47117,0.59575,0.86046,0.0009406,0.0009406,0.0009406
5,484.268,0.65982,0.88184,0.92753,0.99696,1,0.995,0.93362,0.37783,0.50064,0.84884,0.0009208,0.0009208,0.0009208
6,580.173,0.61493,0.79734,0.91917,0.99842,1,0.995,0.93961,0.39889,0.43784,0.84193,0.000901,0.000901,0.000901
7,676.081,0.59781,0.73219,0.92191,0.99745,1,0.995,0.9363,0.36396,0.42697,0.83024,0.0008812,0.0008812,0.0008812
8,772.935,0.56364,0.69954,0.9056,0.99554,1,0.995,0.95527,0.3387,0.37949,0.83013,0.0008614,0.0008614,0.0008614
9,870.304,0.55902,0.65788,0.90307,0.9984,1,0.995,0.94951,0.32729,0.3648,0.83061,0.0008416,0.0008416,0.0008416
10,966.806,0.55253,0.619,0.90522,0.99739,1,0.995,0.95987,0.29677,0.34418,0.82563,0.0008218,0.0008218,0.0008218
11,3139.64,0.53121,0.57639,0.89334,0.99868,1,0.995,0.97977,0.26509,0.3041,0.81295,0.000802,0.000802,0.000802
12,3246.52,0.48515,0.53886,0.88113,0.99631,1,0.995,0.97236,0.29552,0.33504,0.82029,0.0007822,0.0007822,0.0007822
13,3345.17,0.51328,0.55043,0.89287,0.99787,1,0.995,0.97365,0.26102,0.2999,0.81404,0.0007624,0.0007624,0.0007624
14,3445.63,0.48933,0.50546,0.88438,0.99817,1,0.995,0.97206,0.24836,0.28657,0.81239,0.0007426,0.0007426,0.0007426
15,3545.23,0.48411,0.51372,0.88989,0.99779,1,0.995,0.98048,0.24107,0.26947,0.80809,0.0007228,0.0007228,0.0007228
16,3645.12,0.47287,0.48475,0.87967,0.99747,1,0.995,0.97603,0.25073,0.2669,0.80818,0.000703,0.000703,0.000703
17,3745.49,0.46709,0.46833,0.88,0.99808,1,0.995,0.98262,0.23675,0.25479,0.80017,0.0006832,0.0006832,0.0006832
18,3845.07,0.46094,0.45927,0.87852,0.99808,1,0.995,0.97899,0.22919,0.25078,0.80941,0.0006634,0.0006634,0.0006634
19,3948.8,0.45802,0.43996,0.8798,0.99819,1,0.995,0.9794,0.22131,0.23874,0.80558,0.0006436,0.0006436,0.0006436
20,4047.51,0.45609,0.44022,0.88622,0.99864,1,0.995,0.98743,0.22456,0.23662,0.80611,0.0006238,0.0006238,0.0006238
21,4146.82,0.43331,0.42313,0.86802,0.99886,1,0.995,0.98843,0.20515,0.21386,0.80036,0.000604,0.000604,0.000604
22,4252.48,0.42068,0.40463,0.86757,0.99879,1,0.995,0.98478,0.21493,0.22455,0.80209,0.0005842,0.0005842,0.0005842
23,4355.8,0.41974,0.40936,0.866,0.9989,1,0.995,0.98161,0.24308,0.21588,0.80183,0.0005644,0.0005644,0.0005644
24,4458.75,0.41002,0.40202,0.8663,0.99895,1,0.995,0.98453,0.23075,0.21189,0.81042,0.0005446,0.0005446,0.0005446
25,4561.2,0.4025,0.3849,0.86043,0.99868,1,0.995,0.99018,0.18021,0.18564,0.79387,0.0005248,0.0005248,0.0005248
26,4663.4,0.4092,0.3795,0.86279,0.99826,1,0.995,0.98231,0.22018,0.21027,0.79856,0.000505,0.000505,0.000505
27,4767.1,0.40017,0.37548,0.86199,0.99859,1,0.995,0.98956,0.20013,0.19346,0.79637,0.0004852,0.0004852,0.0004852
28,4869.81,0.38986,0.36166,0.85758,0.99845,1,0.995,0.98871,0.1852,0.18456,0.79019,0.0004654,0.0004654,0.0004654
29,4968.3,0.38343,0.35925,0.8583,0.99847,1,0.995,0.99199,0.18164,0.17689,0.78817,0.0004456,0.0004456,0.0004456
30,5065.49,0.37032,0.35072,0.85502,0.99881,1,0.995,0.99367,0.17216,0.1856,0.78674,0.0004258,0.0004258,0.0004258
31,5162.27,0.37233,0.35301,0.85168,0.99882,1,0.995,0.99098,0.16539,0.17135,0.78691,0.000406,0.000406,0.000406
32,5258.97,0.36084,0.33582,0.84787,0.99843,1,0.995,0.99105,0.16742,0.16897,0.78951,0.0003862,0.0003862,0.0003862
33,5355.47,0.3643,0.33519,0.85038,0.999,1,0.995,0.99425,0.15324,0.16157,0.78744,0.0003664,0.0003664,0.0003664
34,5451.78,0.35753,0.32704,0.84871,0.99892,1,0.995,0.99199,0.16305,0.16457,0.78905,0.0003466,0.0003466,0.0003466
35,5549.98,0.36699,0.32907,0.8562,0.99863,1,0.995,0.99418,0.16069,0.16521,0.7882,0.0003268,0.0003268,0.0003268
36,5647.58,0.35458,0.32003,0.84659,0.99865,1,0.995,0.99345,0.15196,0.16142,0.7882,0.000307,0.000307,0.000307
37,5743.88,0.36043,0.32291,0.85034,0.99888,1,0.995,0.9906,0.16901,0.1616,0.79004,0.0002872,0.0002872,0.0002872
38,5840.96,0.33665,0.30645,0.8451,0.99904,1,0.995,0.99383,0.15397,0.16313,0.78598,0.0002674,0.0002674,0.0002674
39,5937.69,0.33537,0.29742,0.8402,0.99893,1,0.995,0.99376,0.13545,0.14757,0.78559,0.0002476,0.0002476,0.0002476
40,6035.51,0.33603,0.30658,0.84181,0.99885,1,0.995,0.9942,0.14116,0.14794,0.78334,0.0002278,0.0002278,0.0002278
41,6130.18,0.30474,0.27112,0.82016,0.99846,1,0.995,0.99402,0.14096,0.1458,0.78366,0.000208,0.000208,0.000208
42,6225.09,0.29916,0.25944,0.8234,0.99891,1,0.995,0.99307,0.14541,0.14667,0.78519,0.0001882,0.0001882,0.0001882
43,6320.18,0.28896,0.24969,0.81504,0.99905,1,0.995,0.99365,0.13198,0.13552,0.78287,0.0001684,0.0001684,0.0001684
